id	property_name	search_term	category_name	label	source	comment							
1	has_wheels	wheeled_vehicle	wheeled_vehicle	pos	wn								
2	has_wheels	wheels	has_wheels-mixed	pos	conceptnet								
3	has_wheels	vehicle/wheeled_vehicle	not_wheeled_vehicle	neg	wn_negated								
4	has_wheels	has_wheels	has_wheels_mixed	pos	cslb_crowd_pos								
5	has_wheels	has_wheels	not_has_wheels-mixed	neg	cslb_crowd_neg								
6	has_wheels	wheels	not_has_wheels-mixed	neg	conceptnet								
7	is_predator	predator	predator	pos	wn								
8	is_predator	animal/predator	not_predator_animal	neg	wn_negated								
9	is_predator	weapon	weapon	neg	wn								
10	is_found_in_seas	is_found_in_seas	is_found_in_seas_mixed	pos	cslb_crowd_pos								
11	is_found_in_seas	is_found_in_seas	not_is_found_in_seas_mixed	neg	cslb_crowd_neg								
12	is_found_in_seas	sea_animal	sea_animal	pos	wn								
13	is_found_in_seas	sea_plant	sea_plant	pos	wn								
14	is_found_in_seas	freshwater_fish	freshwater_fish	neg	wn								
15	is_found_in_seas	sea_objects	sea_objects	pos	manual								
16	is_found_in_seas	river_objects	river_objects	neg	manual								
17	is_found_in_seas	animal/sea_animal	not_sea_animal	neg	wn_negated								
18	is_found_in_seas	is_found_in_seas	not_is_found_in_seas_mixed	neg	cslb_crowd_neg								
19	is_female	female	female_people	pos	wn								
20	is_female	male	male_people	neg	wn								
21	has_alcohol	alcoholic_drink	alcoholic_drink	pos	wn								
22	has_alcohol	alcoholic_food	alcoholic_food	pos	manual								
23	has_alcohol	alcohol	has_alcohol_mixed	pos	conceptnet								
24	has_alcohol	has_alcohol	has_alcohol	pos	cslb								
25	has_alcohol	drink/alcoholic_drink	not_alcoholic_drink	neg	wn_negated								
26	has_alcohol	alcohol	not_has_alcohol	neg	conceptnet								
27	does_lay_eggs	bird	bird	pos	wn								
28	does_lay_eggs	insect	insect	pos	wn								
29	does_lay_eggs	reptile	reptile	pos	wn								
30	does_lay_eggs	fish	fish	pos	wn								
31	does_lay_eggs	mammal	mammal	neg	wn								
32	does_lay_eggs	plant	plant	neg	wn								
33	does_fly	does_fly	does_fly_mixed	pos	cslb								
34	does_fly	does_fly	does_fly_mixed	pos	cslb_crowd_pos								
35	does_fly	does_fly	not_does_fly_mixed	neg	cslb_crowd_neg								
36	does_fly	bird	bird	pos/neg	wn								
37	does_fly	insect	insect	pos/neg	wn								
38	does_fly	vehicle	vehicle	pos/neg	wn								
39	does_fly	fish	fish	neg	wn								
40	does_fly	reptile	reptile	neg	wn								
41	does_fly	mammal	mammal	neg	wn	except bat							
42	does_swim	does_swim	does_swim_mixed	pos	cslb								
43	does_swim	does_swim	does_swim_mixed	pos	cslb_crowd_pos								
44	does_swim	does_swim	not_does_swim_mixed	neg	cslb_crowd_neg								
45	does_swim	fish	fish	pos	wn								
46	does_swim	reptile	reptile	pos	wn								
47	does_swim	mammal	mammal	pos/neg	wn								
48	does_swim	water_plant	water_plant	neg	wn								
49	is_dangerous	is_dangerous	is_dangerous_mixed	pos	cslb_crowd_pos								
50	is_dangerous	is_dangerous	not_dangerous_mixed	neg	cslb_crowd_neg								
51	is_dangerous	animal	animal	pos/neg	wn								
52	is_dangerous	weapon	weapon	pos	wn								
53	is_dangerous	substance	substance	pos/neg	wn								
54	is_dangerous	tool	tool	neg	wn								
55	is_dangerous	toy	toy	neg	wn								
56	has_a_point	has_a_point	has_a_point	pos	cslb								
57	has_a_point	point	has_a_point	pos	conceptnet								
58	has_a_point	tool	tool	pos/neg	wn								
59	has_a_point	utensil	utensil	pos/neg	wn								
60	has_a_lid	lid	has_a_lid	pos	conceptnet								
61	has_a_lid	container	container	pos/neg	wn								
62	is_large	is_large	is_large	pos	cslb								
63	is_large	large	is_large	pos	conceptnet								
64	is_large	is_small	is_small	neg	cslb								
65	is_large	small	is_small	neg	conceptnet								
66	is_round	is_round	is_round	pos	cslb								
67	is_round	round	is_round	pos	conceptnet								
68	is_round	square	is_square	neg	conceptnet								
69	is_yellow	is_yellow	is_yellow	pos	cslb_crowd_pos								
70	is_yellow	is_yellow	not_is_yellow	neg	cslb_crowd_neg								
71	is_yellow	yellow	is_yellow	pos	conceptnet								
72	is_red	is_red	is_red	pos	cslb_crowd_pos								
73	is_red	red	is_red	pos	conceptnet								
74	is_red	is_red	not_is_red	neg	cslb_crowd_neg								
75	is_blue	is_blue	is_blue	pos	cslb								
76	is_blue	blue	is_blue	pos	conceptnet								
77	is_black	is_black	is_black	pos	cslb_crowd_pos								
78	is_black	black	is_black	pos	conceptnet								
79	is_black	is_black	not_is_black	neg	cslb_crowd_neg								
80	made_of_wood	made_of_wood	made_of_wood	pos	cslb_crowd_pos								
81	made_of_wood	made_of_wood	not_made_of_wood	neg	cslb_crowd_neg								
82	made_of_wood	wood	made_of_wood	pos	conceptnet								
83	made_of_metal	made_of_metal	made_of_metal	pos	cslb								
84	made_of_metal	made_of_metal	made_of_metal	pos	cslb_crowd_pos								
85	made_of_metal	made_of_metal	not_made_of_metal	neg	cslb_crowd_neg								
86	made_of_metal	metal	made_of_metal	pos	conceptnet								
87	is_person	person	person	pos	wn								
88	is_person	animal	animal	pos	wn								
89	is_person	artifact	artifact	neg	wn								
90	is_an_object	physical_object	physical_object	pos	wn								
91	is_an_object	abstract_concept	abstract_concept	neg	wn								
92	is_square	square	is_square	pos	conceptnet								
93	is_square	is_square	is_square	pos	cslb								
94	is_square	is_round	is_round	neg	cslb								
95	is_square	is_square	round	neg	conceptnet								
96	is_yellow	is_black	is_black	neg	cslb_crowd_pos								
97	is_yellow	black	is_black	neg	conceptnet								
98	is_yellow	is_blue	is_blue	neg	cslb_crowd_pos								
99	is_yellow	blue 	is_blue	neg	conceptnet								
100	is_yellow	is_red	is_red	neg	cslb_crowd_pos								
101	is_yellow	red	is_red	neg	cslb_crowd_pos								
102	is_black	is_yellow	is_yellow	neg	cslb_crowd_pos								
103	is_black	yellow	is_yellow	neg	conceptnet								
104	is_black	is_blue	is_blue	neg	cslb_crowd_pos								
105	is_black	blue 	is_blue	neg	conceptnet								
106	is_black	is_red	is_red	neg	cslb_crowd_pos								
107	is_black	red	is_red	neg	cslb_crowd_pos								
108	is_blue	is_yellow	is_yellow	neg	cslb_crowd_pos								
109	is_blue	yellow	is_yellow	neg	conceptnet								
110	is_blue	is_black	is_black	neg	cslb_crowd_pos								
111	is_blue	black	is_black	neg	conceptnet								
112	is_blue	is_red	is_red	neg	cslb_crowd_pos								
113	is_black	red	is_red	neg	cslb_crowd_pos								
114	is_square	square	not_is_square	neg	conceptnet								
115	is_yellow	is_yellow	is_yellow	pos	cslb_implications_pos								
116	is_yellow	is_yellow	not_is_yellow	neg	cslb_implications_neg								
117	is_black	is_black	is_black	pos	cslb_implications_pos								
118	is_black	is_black	not_is_black	neg	cslb_implications_neg								
119	made_of_wood	made_of_wood	made_of_wood	pos	cslb_implications_pos								
120	made_of_wood	made_of_wood	not_made_of_wood	neg	cslb_implications_neg								
121	is_a_journey	journey	is_a_journey	pos	wn								
122	is_a_journey	relationship	is_a_relationship	pos/neg	wn								
123	is_a_journey	illness	is_illness	pos/neg	wn								
124	is_a_journey	life	is_life	pos/pos	wn								
125	is_part_of_a_building	building	part_of_building	pos	wn_parts								
126	is_part_of_a_building	building	part_of_building	pos	manual	structure	 foundation	 basis	 pillar	 keystone	 cornerstone	 fortress	 superstructure
127	is_part_of_a_building	career/building	not_part_of_building_career	neg	wn_parts_negated								
128	is_part_of_a_building	government/building	not_part_of_building_government	neg	wn_parts_negated								
131	is_part_of_a_building	nation/building	not_part_of_building_nation	neg	wn_parts_negated								
133	is_artifact	artifact	artifact	pos	wn								
134	is_artifact	information/artifact	not_artifact_information	neg	wn_negated								
135	is_artifact	artifact	artifact	pos	regpol								
136	is_artifact	artifact-information	artifact-information	pos	regpol								
137	is_artifact	information	not_artifact_information	neg	regpol								
138	is_animal	animal	animal	pos	wn								
139	is_animal	animal	animal	pos	regpol								
140	is_animal	is_animal	animal	pos	cslb_implications_pos								
141	is_animal	is_animal	animal	pos	cslb_crowd_pos								
142	is_animal	animal-meat	animal	pos	regpol								
143	is_animal	is_animal	food	neg	cslb_implications_neg								
144	is_animal	is_animal	food	neg	cslb_crowd_neg								
145	is_animal	meat	food	neg	regpol								
146	is_animal	is_an_animal	animal	pos	cslb_implications_pos								
147	is_animal	is_an_animal	animal	pos	cslb_crowd_pos								
148	is_animal	is_an_animal	food	neg	cslb_implications_neg								
149	is_animal	is_an_animal	food	neg	cslb_crowd_neg								
150	is_container	container	container	pos	wn								
151	is_container	container	container	pos	regpol								
152	is_container	container-content	container-content	pos	regpol								
153	is_container	content/container	not_container_content	neg	wn_negated								
154	is_container	content	content	neg	regpol								
155	is_location	location	location	pos	wn								
156	is_location	location	location	pos	regpol								
157	is_location	location-organization	location-organization	pos	regpol								
158	is_location	organization/location	not_location_organization	neg	wn_negated								
159	is_location	organization	organization	neg	regpol								
160	is_process	process	process	pos	wn								
161	is_process	process	process	pos	regpol								
162	is_process	result/process	not_process_result	neg	wn_negated								
163	is_process	process-result	process-result	pos	regpol								
164	is_process	result	result	neg	regpol								
165	is_large	is_large	is_big_large	pos	cslb								
166	is_large	is_big_large	is_large	pos	cslb								
167	is_large	is_big_large	is_large_correct	pos	cslb								
168	is_large	is_big	is_big	pos	veale_simile								
169	is_red	is_red	is_red	pos	veale_simile								
170	is_yellow	is_yellow	is_yellow	pos	veale_simile								
171	is_blue	is_blue	is_blue	pos	veale_simile								
172	is_black	is_black	is_black	pos	veale_simile								
173	is_large	is_big	is_big	pos	veale_simile								
174	is_large 	is_big_ironic	is_big_ironic	neg	veale_simile								
175	is_round	is_round	is_round	pos	veale_simile								
176	is_round	is_round_ironic	is_round_ironic	neg	veale_simile								
177	is_large	is_large	is_large 	pos	veale_simile								
178	is_large	is_large_ironic	is_large_ironic	neg	veale_simile								
179	is_round	is_rectangular	is_rectangular	neg	veale_simile								
180	is_large	is_tall	is_tall	pos	veale_simile								
181	is_round	is_square	is_square	neg	veale_simile								
182	is_round	is_square_ironic	is_square_ironic	pos	veale_simile								
183	is_large	is_tiny	is_tiny	neg	veale_simile								
184	is_large	is_tall_ironic	is_tall_ironic	neg	veale_simile								
185	is_large	is_giant	is_giant	pos	veale_simile								
186	is_large	is_huge	is_huge	pos	veale_simile								
187	has_a_point	is_pointed	is_pointed	pos	veale_simile								
188	has_a_point	is_pointed_ironic	is_pointed_ironic	neg	veale_simile								
189	is_large	is_enormous	is_enormous	pos	veale_simile								
190	is_large	is_vast	is_vast	pos	veale_simile								
191	is_large	is_spacious	is_spacious	pos	veale_simile								
192	is_large	is_miniscule	is_miniscule	neg	veale_simile								
193	is_large	is_small	is_small	neg	veale_simile								
194	is_dangerous	is_safe	is_safe	neg	veale_simile								
195	is_dangerous	is_safe_ironic	is_safe_ironic	pos	veale_simile								
196	is_dangerous	is_hazardous	is_hazardous	pos	veale_simile								
197	is_warm	is_warm	is_warm	pos	veale_simile								
198	is_warm	is_warm	is_warm	pos	cslb								
199	is_sweet	is_sweet	is_sweet	pos	veale_simile								
200	is_sweet	is_sweet_ironic	is_sweet_ironic	neg	veale_simile								
201	is_warm	is_frozen	is_frozen	neg	veale_simile								
202	is_cold	is_cold	is_cold	neg	cslb								
203	is_dangerous	is_scary	is_scary	pos	veale_simile								
204	is_dangerous	is_scary_ironic	is_scary_ironic	neg	veale_simile								
205	is_dangerous	is_dangerous	is_dangerous	pos	veale_simile								
206	is_dangerous	is_dangerous_ironic	is_dangerous_ironic	neg	veale_simile								
207	is_hot	is_hot	is_hot	pos	veale_simile								
208	is_hot	is_hot_ironic	is_hot_ironic	neg	veale_simile								
209	is_dangerous	is_destructive	is_destructive	pos	veale_simile								
210	is_dangerous	is_severe	is_severe	pos	veale_simile								
211	is_dangerous	is_threatening	is_threatening	pos	veale_simile								
212	is_dangerous	is_threatening_ironic	is_threatening_ironic	neg	veale_simile								
213	made_of_wood	made_of_wood	made_of_wood	pos	veale_simile								
214	is_warm	is_cold	is_cold	neg	cslb								
215	is_warm	cold	is_cold	neg	conceptnet								
216	is_used_in_cooking	is_used_in_cooking	is_used_in_cooking	pos	cslb								
218	is_used_in_cooking	is_used_in_cooking	is_used_in_cooking	neg	cslb_crowd_neg								
219	has_a_handle_handles	has_a_handle_handles	has_a_handle_handles	pos	cslb								
220	is_heavy	is_heavy	is_heavy	pos	cslb								
221	is_juicy	is_juicy	is_juicy	pos	cslb								
222	is_heavy	is_small	is_small	pos/neg	cslb								
223	is_juicy	is_hot	is_hot	pos/neg	cslb								
224	is_juicy	is_small	is_small	pos/neg	cslb								
225	is_juicy	is_large	is_large	pos/neg	cslb								
226	is_juicy	is_cold	is_cold	pos/neg	cslb								
227	is_juicy	is_used_in_cooking	is_used_in_cooking	pos/neg	cslb								
228	is_large	is_large	is_large	pos	mcrae								
229	is_large	is_small	is_small	neg	mcrae								
230	made_of_metal	made_of_metal	made_of_metal	pos	mcrae								
231	made_of_metal	made_of_plastic	made_of_plastic	neg	mcrae								
232	made_of_metal	made_of_plastic	made_of_plastic	neg	cslb								
232	made_of_metal	made_of_wood	made_of_wood	neg	mcrae								
233	is_round	is_round	is_round	pos	mcrae								
234	is_edible	is_edible	is_edible	pos	mcrae								
235	is_edible	is_yellow	is_yellow	pos/neg	mcrae								
236	is_edible	is_yellow	is_yellow	pos/neg	cslb								
237	is_edible	is_brown	is_brown	pos/neg	mcrae								
238	is_edible	is_brown	is_brown	pos/neg	cslb								
239	is_edible	is_green	is_green	pos/neg	mcrae								
240	is_edible	is_green	is_green	pos/neg	cslb								
241	used_for_transportation	used_for_transportation	used_for_transportation	pos	mcrae								
242	used_for_transportation	an_animal	an_animal	pos/neg	mcrae								
243	used_for_transportation	made_of_metal	made_of_metal	pos/neg	mcrae								
244	used_for_transportation	made_of_metal	made_of_metal	pos/neg	cslb								
242	used_for_transportation	an_animal	an_animal	pos/neg	cslb								
244	is_green	is_green	is_green	pos	mcrae								
245	is_green	is_green	is_green	pos	cslb								
246	is_green	is_yellow	is_yellow	neg	mcrae								
247	is_green	is_yellow	is_yellow	neg	cslb								
248	is_green	is_black	is_black	neg	mcrae								
249	is_green	is_black	is_black	neg	cslb								
250	is_green	is_blue	is_blue	neg	mcrae								
251	is_green	is_blue	is_blue	neg	cslb								
252	is_green	is_red	is_red	neg	mcrae								
253	is_green	is_red	is_red	neg	cslb								
254	is_red	is_red	is_red	pos	mcrae								
255	is_red	is_red	is_red	pos	cslb								
256	is_used_in_cooking	is_used_in_cooking	is_used_in_cooking	pos	cslb								
257	is_used_in_cooking	used_in_cooking	used_in_cooking	pos	mcrae								
258	is_used_in_cooking	is_made_of_metal	is_made_of_metal	pos/neg	cslb								
259	is_used_in_cooking	is_made_of_metal	is_made_of_metal	pos/neg	mcrae								
260	is_used_in_cooking	tool	tool	pos/neg	wn								
261	is_used_in_cooking	is_red	is_red	pos/neg	cslb								
262	is_used_in_cooking	is_red	is_red	pos/neg	mcrae								
263	is_used_in_cooking	is_black	is_black	pos/neg	mcrae								
264	is_used_in_cooking	is_black	is_black	pos/neg	cslb								
265	is_used_in_cooking	is_used_in_cooking	is_used_in_cooking	pos	cslb								
266	is_used_in_cooking	used_in_cooking	used_in_cooking	pos	mcrae								
267	is_used_in_cooking	made_of_metal	made_of_metal	pos/neg	cslb								
268	is_used_in_cooking	made_of_metal	made_of_metal	pos/neg	mcrae								
269	is_used_in_cooking	tool	tool	pos/neg	wn								
270	has_a_handle_handles	has_a_handle_handles	has_a_handle_handles	pos	cslb								
271	has_a_handle_handles	tool	tool	pos/neg	wn								
272	has_a_handle_handles	made_of_metal	made_of_metal	pos/neg	cslb								
273	has_a_handle_handles	made_of_metal	made_of_metal	pos/neg	mcrae								
274	has_a_handle_handles	made_of_wood	made_of_wood	pos/neg	cslb								
275	has_a_handle_handles	made_of_plastic	made_of_plastic	pos/neg	cslb								
276	has_a_handle_handles	made_of_plastic	made_of_plastic	pos/neg	mcrae								
